arc,conv,asp,pID,sID,dirDate,dirJD
37.02300936739397,0,0.0,0,5,10/12/2043 11:32:0,2467534.980363543
37.03682682701117,0,-60.0,7,8,10/17/2043 12:34:0,2467540.023736303
-37.19062693774009,0,-120.0,10,4,12/12/2043 15:52:0,2467596.1607767195
37.473856761666696,0,0.0,5,9,3/25/2044 0:57:0,2467699.5396624524
-38.044664285568786,0,-90.0,10,5,10/20/2044 10:18:0,2467908.9290729626
38.07004914794379,0,90.0,0,8,10/29/2044 17:17:0,2467918.2199325915
38.148896991476136,0,-120.0,9,3,11/27/2044 13:53:0,2467947.0782433245
38.40649049149087,0,90.0,3,24,3/1/2045 20:35:0,2468041.35746433
38.49139237574329,0,60.0,6,25,4/1/2045 22:21:0,2468072.4315539664
38.52460027378561,0,90.0,2,7,4/14/2045 2:3:0,2468084.58564465
-39.24109765329524,0,120.0,1,24,12/31/2045 1:59:0,2468345.582587897
-39.30751628202199,0,60.0,0,2,1/24/2046 7:49:0,2468369.8253873824
39.37416318033132,0,-90.0,8,9,2/17/2046 15:38:0,2468394.1515052654
-39.40591682743565,0,90.0,6,0,3/1/2046 5:48:0,2468405.7415864584
39.652409569110745,0,60.0,4,28,5/30/2046 5:4:0,2468495.7114371695
-39.737851224571756,0,-90.0,1,4,6/30/2046 9:33:0,2468526.897641413
-39.83911823872421,0,0.0,3,6,8/6/2046 8:39:0,2468563.8601015788
39.84049682974384,0,-60.0,5,2,8/6/2046 20:43:0,2468564.363287301
39.86257742869685,0,-180.0,1,0,8/14/2046 22:9:0,2468572.4227059186
-39.984898872034364,0,-90.0,8,3,9/28/2046 13:41:0,2468617.0700327368
40.1228992704862,0,180.0,8,28,11/18/2046 1:31:0,2468667.5630774423
-40.16449664643812,0,120.0,8,28,12/3/2046 6:54:0,2468682.7877170406
40.183423595222166,0,60.0,5,1,12/10/2046 5:10:0,2468689.7149802954
-40.32811332973421,0,-90.0,7,2,2/1/2047 4:7:0,2468742.671423127
-40.40205103359791,0,120.0,4,28,2/28/2047 5:35:0,2468769.7326227413
40.70628245818375,0,0.0,6,3,6/19/2047 13:57:0,2468881.0813241396
-40.735339485243685,0,-60.0,1,5,6/30/2047 5:11:0,2468891.7161960434
-40.76237139735565,0,90.0,2,9,7/10/2047 2:38:0,2468901.6098758765
40.96179581658379,0,60.0,9,25,9/21/2047 2:23:0,2468974.599213314
41.237300313851506,0,-60.0,2,4,12/29/2047 16:43:0,2469074.196559
41.67055426939231,0,120.0,7,6,6/4/2048 20:1:0,2469232.3342527724
-41.88520529069899,0,0.0,5,3,8/22/2048 4:22:0,2469310.6818755493
42.51947081067209,0,90.0,4,1,4/11/2049 16:32:0,2469543.1887903395
42.55076706766715,0,120.0,0,10,4/23/2049 2:41:0,2469554.6119241426
42.676002362796595,0,0.0,3,5,6/7/2049 19:45:0,2469600.322806865
42.70377659032498,0,-90.0,0,6,6/17/2049 23:3:0,2469610.4603999127
-42.794487794066185,0,120.0,3,9,7/21/2049 1:41:0,2469643.5699892784
-43.14419001808241,0,-120.0,10,0,11/25/2049 17:4:0,2469771.2113010446
43.163974368739474,0,90.0,5,28,12/2/2049 22:23:0,2469778.432589034
43.236824389461816,0,-90.0,5,3,12/29/2049 12:33:0,2469805.0228465977
43.241261936279784,0,-120.0,9,0,12/31/2049 3:25:0,2469806.6425511865
-43.34239044004241,0,60.0,9,24,2/6/2050 1:18:0,2469843.5544550596
-44.25039058892358,0,120.0,10,25,1/3/2051 11:23:0,2470174.9745094012
44.274926680672934,0,120.0,1,25,1/12/2051 10:19:0,2470183.93018289
-44.38108933200564,0,90.0,7,28,2/20/2051 4:19:0,2470222.6795506263
